BoosterMotorEncosTest/MotorCmdKd#0,BoosterMotorEncosTest/MotorCmdKp#0,BoosterMotorEncosTest/MotorCmdPos#0,BoosterMotorEncosTest/MotorCmdTor#0,BoosterMotorEncosTest/MotorCmdVel#0,BoosterMotorEncosTest/MotorFbPos#0,BoosterMotorEncosTest/MotorFbTemp#0,BoosterMotorEncosTest/MotorFbTor#0,BoosterMotorEncosTest/MotorFbVel#0,BoosterMotorEncosTest/TotalLostFrameCnt,BoosterMotorEncosTest/TotalRecvFrameCnt,BoosterMotorEncosTest/TotalSendFrameCnt,BoosterMotorEncosTest/t
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2197802216,-0.0043956046,0,623,623,121
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0146520147,-0.0043956046,0,624,624,122
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0219780225,0,625,625,123
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,-0.0131868133,0,626,626,124
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0131868133,0,627,627,125
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,628,628,126
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0146520147,0.0219780225,0,629,629,127
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,0.0043956046,0,630,630,128
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2197802216,-0.0131868133,0,631,631,129
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2197802216,-0.0043956046,0,632,632,130
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,633,633,131
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0131868133,0,634,634,132
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,-0.0131868133,0,635,635,133
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,0.0043956046,0,636,636,134
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,0.0043956046,0,637,637,135
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,638,638,136
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0043956046,0,639,639,137
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0043956046,0,640,640,138
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.2197802216,-0.0131868133,0,641,641,139
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,-0.0131868133,0,642,642,140
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,0.0043956046,0,643,643,141
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0146520147,-0.0307692308,0,644,644,142
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0131868133,0,645,645,143
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0732600763,-0.0043956046,0,646,646,144
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,0.0131868133,0,647,647,145
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,0.0043956046,0,648,648,146
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1318681389,-0.0131868133,0,649,649,147
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.1025641039,-0.0219780225,0,650,650,148
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,-0.0043956046,0,651,651,149
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1025641039,-0.0219780225,0,652,652,150
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0146520147,0.0043956046,0,653,653,151
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.3076923192,-0.0131868133,0,654,654,152
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.0732600763,0.0131868133,0,655,655,153
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.0439560451,-0.0131868133,0,656,656,154
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,-0.1904761940,0.0043956046,0,657,657,155
0.1000000015,1.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0001907378,21.0000000000,0.3663003743,0.0043956046,0,658,658,156
