time,odrive0.axis0.encoder.vel_estimate
2116.11,59.92889404296875
2116.116,60.08148193359375
2116.155,60.11962890625
2116.168,60.0433349609375
2116.205,60.1959228515625
2116.219,60.253143310546875
2116.256,59.871673583984375
2116.276,60.15777587890625
2116.306,60.15777587890625
2116.326,60.024261474609375
2116.356,59.986114501953125
2116.378,59.947967529296875
2116.406,60.100555419921875
2116.429,59.719085693359375
2116.456,60.253143310546875
2116.48,60.291290283203125
2116.511,60.08148193359375
2116.535,60.0433349609375
2116.559,60.1959228515625
2116.585,60.024261474609375
2116.615,59.757232666015625
2116.655,60.08148193359375
2116.665,60.024261474609375
2116.705,59.947967529296875
2116.716,60.00518798828125
2116.764,60.31036376953125
2116.767,60.214996337890625
2116.797,59.814453125
2116.818,60.272216796875
2116.845,59.8907470703125
2116.87,59.909820556640625
2116.895,60.024261474609375
2116.921,60.1959228515625
2116.955,60.11962890625
2116.971,60.11962890625
2117.011,60.1959228515625
2117.023,60.214996337890625
2117.061,59.833526611328125
2117.076,60.08148193359375
2117.109,60.272216796875
2117.126,60.00518798828125
2117.157,59.814453125
2117.176,59.7381591796875
2117.209,57.71636962890625
2117.228,55.828094482421875
2117.265,53.806304931640625
2117.285,52.29949951171875
2117.31,50.792694091796875
2117.335,48.732757568359375
2117.365,46.977996826171875
2117.397,45.680999755859375
2117.415,44.002532958984375
2117.446,42.057037353515625
2117.465,40.302276611328125
2117.5,38.928985595703125
2117.516,37.517547607421875
2117.546,35.724639892578125
2117.566,34.21783447265625
2117.607,32.38677978515625
2117.622,30.670166015625
2117.659,29.3731689453125
2117.674,28.095245361328125
2117.706,26.645660400390625
2117.723,25.06256103515625
2117.762,23.8037109375
2117.782,21.228790283203125
2117.807,19.207000732421875
2117.832,17.89093017578125
2117.858,16.5557861328125
2117.883,15.239715576171875
2117.908,14.15252685546875
2117.933,12.912750244140625
2117.961,11.48223876953125
2117.986,10.10894775390625
2118.012,8.43048095703125
2118.046,6.618499755859375
2118.063,4.711151123046875
2118.096,2.899169921875
2118.114,1.277923583984375
2118.145,-0.0762939453125
2118.165,0
2118.211,0.019073486328125
2118.215,0.019073486328125
2118.247,0
2118.269,0
2118.298,0
2118.321,0
2118.358,0
2118.372,0
2118.408,0
2118.424,-0.019073486328125
2118.462,0
2118.474,0
2118.507,-0.019073486328125
2118.527,0
2118.566,0.019073486328125
2118.578,-0.019073486328125
2118.606,0
2118.63,0
2118.656,0
2118.681,0
2118.713,0
2118.732,0
2118.761,0.019073486328125
2118.784,0.019073486328125
2118.817,0.019073486328125
2118.867,0
