time,odrive0.axis0.encoder.gear_vel_estimate_rad,odrive0.axis0.encoder.vel_estimate
7.432,-2.9241509437561035,-7.51953125
7.454,-3.0248184204101562,-7.70263671875
7.477,-2.9097697734832764,-7.38525390625
7.5,-2.4879250526428223,-6.33544921875
7.524,-1.7257283926010132,-4.38232421875
7.546,-0.752609372138977,-1.89208984375
7.575,0.2924150824546814,0.74462890625
7.591,0.910801112651825,2.35595703125
7.615,1.4764565229415894,3.79638671875
7.637,2.042111873626709,5.2490234375
7.66,2.5023062229156494,6.40869140625
7.684,2.857039213180542,7.31201171875
7.707,3.0823426246643066,7.8125
7.729,3.0344059467315674,7.7880859375
7.752,2.7611653804779053,7.03125
7.775,2.157160520553589,5.46875
7.797,1.208009958267212,3.03955078125
7.824,0.11984225362539291,0.2685546875
7.843,-0.5320996046066284,-1.35498046875
7.866,-1.0641992092132568,-2.734375
7.889,-1.639441967010498,-4.13818359375
7.912,-2.176335334777832,-5.57861328125
7.935,-2.6365294456481934,-6.787109375
7.957,-2.9385321140289307,-7.45849609375
7.98,-3.0344059467315674,-7.70263671875
8.003,-2.828277111053467,-7.2021484375
8.025,-2.30576491355896,-5.8837890625
8.047,-1.428519606590271,-3.564453125
8.075,-0.18216022849082947,-0.45166015625
8.094,0.6135923266410828,1.611328125
8.117,1.2895026206970215,3.2958984375
8.14,1.8743327856063843,4.74853515625
8.162,2.3728766441345215,6.0546875
8.185,2.7755465507507324,7.0556640625
8.208,3.0535805225372314,7.82470703125
8.23,3.139867067337036,7.97119140625
8.253,2.9337382316589355,7.50732421875
8.276,2.3920514583587646,6.06689453125
8.298,1.5195997953414917,3.8330078125
8.326,0.4506068825721741,1.1474609375
8.344,-0.4218447208404541,-1.0986328125
8.367,-0.9731190800666809,-2.5146484375
8.39,-1.5387744903564453,-3.94287109375
8.413,-2.066080331802368,-5.33447265625
8.435,-2.5358619689941406,-6.50634765625
8.458,-2.861833095550537,-7.31201171875
8.48,-3.0487868785858154,-7.75146484375
8.503,-2.986469030380249,-7.60498046875
8.527,-2.6173548698425293,-6.640625
8.548,-1.912682294845581,-4.87060546875
8.575,-0.9587380290031433,-2.38037109375
8.593,0.16298545897006989,0.4638671875
8.616,0.8580705523490906,2.20947265625
8.639,1.4764565229415894,3.80859375
8.661,2.1044299602508545,5.3955078125
8.684,2.6173548698425293,6.70166015625
8.706,2.991262674331665,7.65380859375
8.729,3.240534543991089,8.203125
8.752,3.2309470176696777,8.21533203125
8.776,2.96250057220459,7.51953125
8.798,2.3920514583587646,6.103515625
8.825,1.505218744277954,3.79638671875
8.844,0.3978762924671173,0.98876953125
8.867,-0.47457531094551086,-1.23291015625
8.89,-1.030643343925476,-2.62451171875
8.913,-1.6106798648834229,-4.16259765625
8.935,-2.161954164505005,-5.57861328125
8.958,-2.6413233280181885,-6.73828125
8.981,-2.9481194019317627,-7.568359375
9.004,-3.0871365070343018,-7.82470703125
9.026,-2.9577066898345947,-7.43408203125
9.049,-2.449575662612915,-6.23779296875
9.075,-1.5579493045806885,-3.9306640625
9.094,-0.4554005563259125,-1.11083984375
9.118,0.5033374428749084,1.28173828125
9.14,1.1408982276916504,2.9541015625
9.164,1.7880463600158691,4.52880859375
9.188,2.315352201461792,5.9326171875
9.209,2.7899277210235596,7.1533203125
9.231,3.106311082839966,7.89794921875
9.254,3.27409029006958,8.3251953125
9.277,3.1638355255126953,8.056640625
9.3,2.7851338386535645,7.09228515625
9.325,2.022937297821045,5.126953125
9.346,0.9875001311302185,2.490234375
9.374,-0.08149272948503494,-0.244140625
9.392,-0.5848301649093628,-1.50146484375
9.416,-1.0833739042282104,-2.734375
9.439,-1.5962988138198853,-4.08935546875
9.462,-2.1188111305236816,-5.43212890625
9.484,-2.555036783218384,-6.54296875
9.506,-2.8858015537261963,-7.3486328125
9.529,-3.0248184204101562,-7.71484375
9.552,-2.9481194019317627,-7.470703125
9.575,-2.574211597442627,-6.50634765625
9.598,-1.82160222530365,-4.6630859375
9.625,-0.7909588813781738,-1.91650390625
9.643,0.2588592767715454,0.67138671875
9.666,0.9060074090957642,2.294921875
9.689,1.490837574005127,3.77197265625
9.712,1.965412974357605,5.029296875
9.734,2.339320659637451,6.005859375
9.757,2.5406558513641357,6.45751953125
9.779,2.5214810371398926,6.40869140625
9.802,2.2674155235290527,5.7861328125
9.825,1.8695391416549683,4.736328125
9.847,1.4093449115753174,3.60107421875
9.875,1.0162622928619385,2.587890625
9.893,0.6471481919288635,1.62353515625
9.916,0.32117724418640137,0.78125
9.939,-0.04314320906996727,-0.08544921875
9.961,0.004793690051883459,0.01220703125
9.985,-0.004793690051883459,0.03662109375
10.007,0,0
10.03,0,0.0244140625
10.053,0.004793690051883459,0.01220703125
10.076,0.009587380103766918,-0.01220703125
10.098,-0.004793690051883459,0
10.126,0.004793690051883459,0.01220703125
10.144,-0.004793690051883459,0.01220703125
10.167,0,0
10.19,0.004793690051883459,0
10.213,0,-0.0244140625
10.237,0,-0.01220703125
10.26,0,0
10.283,-0.004793690051883459,-0.01220703125
10.305,0.004793690051883459,0
10.328,-0.014381070621311665,-0.0244140625
10.351,0,0.01220703125
10.375,0,0.01220703125
10.396,0,-0.01220703125
10.418,0,-0.01220703125
10.442,0,0
10.464,-0.004793690051883459,-0.01220703125
10.487,-0.004793690051883459,0
10.51,-0.004793690051883459,0.01220703125
10.533,0.004793690051883459,0.0244140625
10.556,0,-0.01220703125
10.579,0.004793690051883459,0
10.601,0.014381070621311665,-0.01220703125
10.624,0,0
10.647,0.004793690051883459,0.0244140625
10.675,0.004793690051883459,0.01220703125
10.692,0.004793690051883459,0.01220703125
10.714,0,0
10.737,-0.004793690051883459,0
10.76,-0.004793690051883459,0.01220703125
10.786,-0.004793690051883459,0
10.805,0.004793690051883459,0.0244140625
10.829,-0.004793690051883459,0.01220703125
10.853,-0.004793690051883459,-0.0244140625
10.875,-0.004793690051883459,0
10.897,0.004793690051883459,0.01220703125
10.926,-0.004793690051883459,0
10.943,-0.004793690051883459,-0.01220703125
10.966,0.004793690051883459,-0.01220703125
10.989,0,-0.01220703125
11.011,0.004793690051883459,0
11.035,-0.009587380103766918,0
11.058,0.009587380103766918,-0.01220703125
11.081,-0.004793690051883459,0.03662109375
11.104,-0.004793690051883459,-0.01220703125
11.126,0,-0.01220703125
11.149,-0.004793690051883459,0.01220703125
11.174,0.014381070621311665,-0.01220703125
11.195,0,-0.01220703125
11.217,0,0
11.24,0.004793690051883459,0
11.264,0,-0.01220703125
11.286,0.009587380103766918,0.01220703125
11.309,-0.004793690051883459,0
11.332,0.004793690051883459,0.01220703125
11.355,-0.004793690051883459,-0.01220703125
11.379,0.004793690051883459,0.01220703125
11.401,0,0.01220703125
11.427,0,0
11.448,0,-0.01220703125
11.475,-0.009587380103766918,-0.01220703125
11.492,-0.009587380103766918,0
11.515,-0.004793690051883459,0.01220703125
11.538,0,0
11.561,-0.009587380103766918,0
